Year,Month,Day,Hour,Minute,air pressure at 40m (Pa),temperature at 40m (C),wind direction at 40m (deg),wind speed at 100m (m/s),wind speed at 120m (m/s),wind speed at 80m (m/s),wind speed at 40m (m/s)
2014,1,2,16,0,92440,25.26,66.98,6.19,6.26,6.1,5.69
2014,1,2,16,5,92440,25.25,67.73,6.21,6.28,6.12,5.7
2014,1,2,16,10,92430,25.24,68.37,6.23,6.3,6.14,5.71
2014,1,2,16,15,92440,25.23,68.94,6.24,6.32,6.15,5.7
2014,1,2,16,20,92440,25.21,69.76,6.24,6.32,6.14,5.68
2014,1,2,16,25,92440,25.18,70.6,6.21,6.29,6.11,5.64
2014,1,2,16,30,92440,25.15,71.49,6.18,6.26,6.07,5.6
2014,1,2,16,35,92430,25.11,72.69,6.17,6.25,6.06,5.56
2014,1,2,16,40,92430,25.07,74.12,6.18,6.27,6.07,5.55
2014,1,2,16,45,92420,25.01,75.53,6.19,6.29,6.08,5.53
2014,1,2,16,50,92410,24.95,76.93,6.19,6.29,6.06,5.49
2014,1,2,16,55,92410,24.89,78.24,6.18,6.29,6.05,5.43
