Year,Month,Day,Hour,Minute,air pressure at 40m (Pa),temperature at 40m (C),wind direction at 40m (deg),wind speed at 100m (m/s),wind speed at 120m (m/s),wind speed at 80m (m/s),wind speed at 40m (m/s)
2014,1,1,0,0,92200,20.31,11.14,1.98,2.0,1.95,1.79
2014,1,1,0,5,92200,20.31,13.31,1.87,1.89,1.84,1.67
2014,1,1,0,10,92200,20.32,17.08,1.78,1.82,1.74,1.57
2014,1,1,0,15,92200,20.32,21.73,1.73,1.79,1.69,1.51
2014,1,1,0,20,92200,20.32,27.07,1.7,1.77,1.64,1.44
2014,1,1,0,25,92210,20.33,33.28,1.69,1.77,1.61,1.4
2014,1,1,0,30,92210,20.34,40.61,1.73,1.81,1.64,1.41
2014,1,1,0,35,92210,20.35,46.79,1.81,1.9,1.72,1.48
2014,1,1,0,40,92220,20.36,50.66,1.91,1.99,1.82,1.58
2014,1,1,0,45,92220,20.34,54.01,1.98,2.04,1.9,1.66
2014,1,1,0,50,92220,20.33,55.8,1.99,2.05,1.92,1.68
2014,1,1,0,55,92220,20.31,58.71,1.96,2.02,1.9,1.66
