Year,Month,Day,Hour,Minute,air pressure at 40m (Pa),temperature at 40m (C),wind direction at 40m (deg),wind speed at 100m (m/s),wind speed at 120m (m/s),wind speed at 80m (m/s),wind speed at 40m (m/s)
2014,1,1,20,0,92520,18.7,91.61,10.97,11.7,10.14,7.73
2014,1,1,20,5,92530,18.63,91.57,10.84,11.58,10.01,7.59
2014,1,1,20,10,92520,18.55,91.07,10.76,11.5,9.92,7.49
2014,1,1,20,15,92530,18.49,90.03,10.72,11.46,9.87,7.42
2014,1,1,20,20,92530,18.42,89.15,10.69,11.43,9.83,7.36
2014,1,1,20,25,92520,18.35,88.64,10.66,11.41,9.81,7.31
2014,1,1,20,30,92520,18.28,88.44,10.65,11.39,9.79,7.28
2014,1,1,20,35,92530,18.23,88.5,10.63,11.36,9.78,7.24
2014,1,1,20,40,92540,18.17,88.33,10.56,11.28,9.72,7.17
2014,1,1,20,45,92540,18.12,87.68,10.5,11.2,9.68,7.12
2014,1,1,20,50,92550,18.06,86.51,10.45,11.13,9.64,7.09
2014,1,1,20,55,92550,18.0,85.15,10.39,11.05,9.61,7.06
