Year,Month,Day,Hour,Minute,air pressure at 40m (Pa),temperature at 40m (C),wind direction at 40m (deg),wind speed at 100m (m/s),wind speed at 120m (m/s),wind speed at 80m (m/s),wind speed at 40m (m/s)
2014,1,4,8,0,92550,16.19,43.6,5.73,6.69,4.69,3.65
2014,1,4,8,5,92550,16.45,44.84,5.42,6.46,4.34,3.8
2014,1,4,8,10,92560,16.72,45.61,5.22,6.22,4.24,3.81
2014,1,4,8,15,92560,17.0,47.37,5.06,5.96,4.27,3.83
2014,1,4,8,20,92560,17.28,50.41,4.92,5.61,4.46,3.92
2014,1,4,8,25,92570,17.55,54.19,4.78,5.28,4.6,4.11
2014,1,4,8,30,92570,17.82,56.35,4.8,5.21,4.64,4.21
2014,1,4,8,35,92570,18.08,58.15,4.93,5.26,4.75,4.3
2014,1,4,8,40,92570,18.34,60.54,5.13,5.32,4.95,4.48
2014,1,4,8,45,92580,18.59,62.01,5.12,5.26,4.98,4.55
2014,1,4,8,50,92580,18.82,62.87,5.16,5.31,5.01,4.58
2014,1,4,8,55,92580,19.06,64.05,5.25,5.4,5.11,4.65
