Year,Month,Day,Hour,Minute,air pressure at 40m (Pa),temperature at 40m (C),wind direction at 40m (deg),wind speed at 100m (m/s),wind speed at 120m (m/s),wind speed at 80m (m/s),wind speed at 40m (m/s)
2014,1,3,12,0,92670,23.56,65.46,5.35,5.4,5.29,5.0
2014,1,3,12,5,92680,23.68,65.16,5.28,5.33,5.22,4.94
2014,1,3,12,10,92680,23.79,64.99,5.23,5.28,5.16,4.89
2014,1,3,12,15,92680,23.88,64.73,5.21,5.26,5.14,4.87
2014,1,3,12,20,92680,23.98,64.59,5.21,5.26,5.15,4.87
2014,1,3,12,25,92670,24.08,64.51,5.2,5.25,5.13,4.85
2014,1,3,12,30,92660,24.18,64.42,5.2,5.26,5.14,4.86
2014,1,3,12,35,92660,24.3,64.56,5.24,5.29,5.17,4.88
2014,1,3,12,40,92660,24.42,64.77,5.26,5.31,5.19,4.9
2014,1,3,12,45,92660,24.53,65.1,5.29,5.34,5.22,4.93
2014,1,3,12,50,92650,24.64,65.39,5.35,5.41,5.29,4.99
2014,1,3,12,55,92640,24.73,65.6,5.48,5.53,5.41,5.11
